DATE,M2REAL
1972-02-01,1752.9
1972-03-01,1771.7
1972-04-01,1779.3
1972-05-01,1786.8
1972-06-01,1797.8
1972-07-01,1817.0
1972-08-01,1834.6
1972-09-01,1848.7
1972-10-01,1864.7
1972-11-01,1872.4
1972-12-01,1887.8
1973-01-01,1897.7
1973-02-01,1893.3
1973-03-01,1878.6
1973-04-01,1875.7
1973-05-01,1883.4
1973-06-01,1885.3
1973-07-01,1892.5
1973-08-01,1864.0
1973-09-01,1856.9
1973-10-01,1847.8
1973-11-01,1849.5
1973-12-01,1847.7
1974-01-01,1837.0
1974-02-01,1827.1
1974-03-01,1820.3
1974-04-01,1814.8
1974-05-01,1799.6
1974-06-01,1791.4
1974-07-01,1787.8
1974-08-01,1771.7
1974-09-01,1754.7
1974-10-01,1751.6
1974-11-01,1744.9
1974-12-01,1738.2
1975-01-01,1732.9
1975-02-01,1737.8
1975-03-01,1751.9
1975-04-01,1764.3
1975-05-01,1785.1
1975-06-01,1800.0
1975-07-01,1805.7
1975-08-01,1813.8
1975-09-01,1815.9
1975-10-01,1817.5
1975-11-01,1820.8
1975-12-01,1827.7
1976-01-01,1839.8
1976-02-01,1861.0
1976-03-01,1875.0
1976-04-01,1890.9
1976-05-01,1900.9
1976-06-01,1900.5
1976-07-01,1905.8
1976-08-01,1917.5
1976-09-01,1928.5
1976-10-01,1943.0
1976-11-01,1959.0
1976-12-01,1972.6
1977-01-01,1985.0
1977-02-01,1985.8
1977-03-01,1994.1
1977-04-01,1999.3
1977-05-01,2008.3
1977-06-01,2012.9
1977-07-01,2017.6
1977-08-01,2024.5
1977-09-01,2033.0
1977-10-01,2035.7
1977-11-01,2036.1
1977-12-01,2039.0
1978-01-01,2041.0
1978-02-01,2040.5
1978-03-01,2038.2
1978-04-01,2035.1
1978-05-01,2031.8
1978-06-01,2028.5
1978-07-01,2021.5
1978-08-01,2023.5
1978-09-01,2022.6
1978-10-01,2015.4
1978-11-01,2013.5
1978-12-01,2011.8
1979-01-01,2002.3
1979-02-01,1991.0
1979-03-01,1985.4
1979-04-01,1986.0
1979-05-01,1975.1
1979-06-01,1970.9
1979-07-01,1965.5
1979-08-01,1962.8
1979-09-01,1954.4
1979-10-01,1942.0
1979-11-01,1928.8
1979-12-01,1916.4
1980-01-01,1900.9
1980-02-01,1891.9
1980-03-01,1872.4
1980-04-01,1856.9
1980-05-01,1851.0
1980-06-01,1853.6
1980-07-01,1871.1
1980-08-01,1876.8
1980-09-01,1876.0
1980-10-01,1871.1
1980-11-01,1864.3
1980-12-01,1851.6
1981-01-01,1842.8
1981-02-01,1839.4
1981-03-01,1847.2
1981-04-01,1862.2
1981-05-01,1855.3
1981-06-01,1845.6
1981-07-01,1838.1
1981-08-01,1837.6
1981-09-01,1832.4
1981-10-01,1843.5
1981-11-01,1850.9
1981-12-01,1865.6
1982-01-01,1875.4
1982-02-01,1873.8
1982-03-01,1886.5
1982-04-01,1898.8
1982-05-01,1893.0
1982-06-01,1882.5
1982-07-01,1878.5
1982-08-01,1888.6
1982-09-01,1902.1
1982-10-01,1905.9
1982-11-01,1922.1
1982-12-01,1950.8
1983-01-01,2001.4
1983-02-01,2037.6
1983-03-01,2054.2
1983-04-01,2053.2
1983-05-01,2059.6
1983-06-01,2065.9
1983-07-01,2068.9
1983-08-01,2071.9
1983-09-01,2074.9
1983-10-01,2082.5
1983-11-01,2089.3
1983-12-01,2094.2
1984-01-01,2094.2
1984-02-01,2103.5
1984-03-01,2113.9
1984-04-01,2121.7
1984-05-01,2129.6
1984-06-01,2136.1
1984-07-01,2135.9
1984-08-01,2136.4
1984-09-01,2143.6
1984-10-01,2149.3
1984-11-01,2166.6
1984-12-01,2186.2
1985-01-01,2206.6
1985-02-01,2214.6
1985-03-01,2215.5
1985-04-01,2220.0
1985-05-01,2229.0
1985-06-01,2244.3
1985-07-01,2255.8
1985-08-01,2265.1
1985-09-01,2272.3
1985-10-01,2274.7
1985-11-01,2273.2
1985-12-01,2275.9
1986-01-01,2276.7
1986-02-01,2290.7
1986-03-01,2321.8
1986-04-01,2353.1
1986-05-01,2371.4
1986-06-01,2381.2
1986-07-01,2398.7
1986-08-01,2414.7
1986-09-01,2425.3
1986-10-01,2438.7
1986-11-01,2446.8
1986-12-01,2462.1
1987-01-01,2463.1
1987-02-01,2457.5
1987-03-01,2454.3
1987-04-01,2455.8
1987-05-01,2453.9
1987-06-01,2444.6
1987-07-01,2442.0
1987-08-01,2439.4
1987-09-01,2440.7
1987-10-01,2447.7
1987-11-01,2442.7
1987-12-01,2445.0
1988-01-01,2454.7
1988-02-01,2470.2
1988-03-01,2481.3
1988-04-01,2483.5
1988-05-01,2490.2
1988-06-01,2490.2
1988-07-01,2487.1
1988-08-01,2480.7
1988-09-01,2474.4
1988-10-01,2473.1
1988-11-01,2477.3
1988-12-01,2475.7
1989-01-01,2468.4
1989-02-01,2460.7
1989-03-01,2454.7
1989-04-01,2441.9
1989-05-01,2434.6
1989-06-01,2439.9
1989-07-01,2451.7
1989-08-01,2469.4
1989-09-01,2478.0
1989-10-01,2483.3
1989-11-01,2488.7
1989-12-01,2496.0
1990-01-01,2483.8
1990-02-01,2483.8
1990-03-01,2480.6
1990-04-01,2483.8
1990-05-01,2479.2
1990-06-01,2474.0
1990-07-01,2470.9
1990-08-01,2463.5
1990-09-01,2456.3
1990-10-01,2443.3
1990-11-01,2440.2
1990-12-01,2438.0
1991-01-01,2440.8
1991-02-01,2451.4
1991-03-01,2464.3
1991-04-01,2466.6
1991-05-01,2465.3
1991-06-01,2464.6
1991-07-01,2464.1
1991-08-01,2456.1
1991-09-01,2448.8
1991-10-01,2449.1
1991-11-01,2442.3
1991-12-01,2440.1
1992-01-01,2444.8
1992-02-01,2453.1
1992-03-01,2447.1
1992-04-01,2438.8
1992-05-01,2432.8
1992-06-01,2422.1
1992-07-01,2415.6
1992-08-01,2413.9
1992-09-01,2416.9
1992-10-01,2416.2
1992-11-01,2411.3
1992-12-01,2406.7
1993-01-01,2394.3
1993-02-01,2386.1
1993-03-01,2380.8
1993-04-01,2372.3
1993-05-01,2383.4
1993-06-01,2385.6
1993-07-01,2382.0
1993-08-01,2379.6
1993-09-01,2380.8
1993-10-01,2374.1
1993-11-01,2376.8
1993-12-01,2374.9
1994-01-01,2375.2
1994-02-01,2369.3
1994-03-01,2365.8
1994-04-01,2365.0
1994-05-01,2366.6
1994-06-01,2352.6
1994-07-01,2350.5
1994-08-01,2339.4
1994-09-01,2335.0
1994-10-01,2332.2
1994-11-01,2327.9
1994-12-01,2322.7
1995-01-01,2320.5
1995-02-01,2312.7
1995-03-01,2308.9
1995-04-01,2305.1
1995-05-01,2317.0
1995-06-01,2328.7
1995-07-01,2337.7
1995-08-01,2347.3
1995-09-01,2352.8
1995-10-01,2354.0
1995-11-01,2355.2
1995-12-01,2358.3
1996-01-01,2358.0
1996-02-01,2362.5
1996-03-01,2371.0
1996-04-01,2368.8
1996-05-01,2371.9
1996-06-01,2375.6
1996-07-01,2380.3
1996-08-01,2381.7
1996-09-01,2380.1
1996-10-01,2384.8
1996-11-01,2391.4
1996-12-01,2400.1
1997-01-01,2405.6
1997-02-01,2408.5
1997-03-01,2416.3
1997-04-01,2424.6
1997-05-01,2432.3
1997-06-01,2438.2
1997-07-01,2446.3
1997-08-01,2461.1
1997-09-01,2464.7
1997-10-01,2472.0
1997-11-01,2482.9
1997-12-01,2492.5
1998-01-01,2503.8
1998-02-01,2524.0
1998-03-01,2539.7
1998-04-01,2552.5
1998-05-01,2561.1
1998-06-01,2570.1
1998-07-01,2575.9
1998-08-01,2587.9
1998-09-01,2610.2
1998-10-01,2628.2
1998-11-01,2648.6
1998-12-01,2661.3
1999-01-01,2673.1
1999-02-01,2686.9
1999-03-01,2689.4
1999-04-01,2688.8
1999-05-01,2702.0
1999-06-01,2715.2
1999-07-01,2720.2
1999-08-01,2723.9
1999-09-01,2722.1
1999-10-01,2731.4
1999-11-01,2737.8
1999-12-01,2747.6
2000-01-01,2756.2
2000-02-01,2752.6
2000-03-01,2754.5
2000-04-01,2788.8
2000-05-01,2776.8
2000-06-01,2771.1
2000-07-01,2773.2
2000-08-01,2789.5
2000-09-01,2795.6
2000-10-01,2800.0
2000-11-01,2801.5
2000-12-01,2820.7
2001-01-01,2833.5
2001-02-01,2848.9
2001-03-01,2880.2
2001-04-01,2911.5
2001-05-01,2895.1
2001-06-01,2911.4
2001-07-01,2933.1
2001-08-01,2952.2
2001-09-01,3003.0
2001-10-01,3005.1
2001-11-01,3031.4
2001-12-01,3063.0
2002-01-01,3069.3
2002-02-01,3080.6
2002-03-01,3078.5
2002-04-01,3064.9
2002-05-01,3076.0
2002-06-01,3088.3
2002-07-01,3105.1
2002-08-01,3120.0
2002-09-01,3128.3
2002-10-01,3145.9
2002-11-01,3168.4
2002-12-01,3174.9
2003-01-01,3178.9
2003-02-01,3181.2
2003-03-01,3187.3
2003-04-01,3219.9
2003-05-01,3258.2
2003-06-01,3274.7
2003-07-01,3289.4
2003-08-01,3306.7
2003-09-01,3280.8
2003-10-01,3279.4
2003-11-01,3280.6
2003-12-01,3270.8
2004-01-01,3261.1
2004-02-01,3274.9
2004-03-01,3287.1
2004-04-01,3303.7
2004-05-01,3330.6
2004-06-01,3319.5
2004-07-01,3323.3
2004-08-01,3335.4
2004-09-01,3343.2
2004-10-01,3340.3
2004-11-01,3338.4
2004-12-01,3348.1
2005-01-01,3353.1
2005-02-01,3343.5
2005-03-01,3336.0
2005-04-01,3332.9
2005-05-01,3343.6
2005-06-01,3358.7
2005-07-01,3354.2
2005-08-01,3350.4
2005-09-01,3322.1
2005-10-01,3334.3
2005-11-01,3359.4
2005-12-01,3373.0
2006-01-01,3374.0
2006-02-01,3384.5
2006-03-01,3386.5
2006-04-01,3388.2
2006-05-01,3381.5
2006-06-01,3391.9
2006-07-01,3393.9
2006-08-01,3394.1
2006-09-01,3424.2
2006-10-01,3463.7
2006-11-01,3479.4
2006-12-01,3481.8
2007-01-01,3494.7
2007-02-01,3488.9
2007-03-01,3487.3
2007-04-01,3512.0
2007-05-01,3504.3
2007-06-01,3512.3
2007-07-01,3520.7
2007-08-01,3556.2
2007-09-01,3549.9
2007-10-01,3545.7
2007-11-01,3529.7
2007-12-01,3533.6
2008-01-01,3537.4
2008-02-01,3568.9
2008-03-01,3586.9
2008-04-01,3598.7
2008-05-01,3583.1
2008-06-01,3554.1
2008-07-01,3550.2
2008-08-01,3562.2
2008-09-01,3590.8
2008-10-01,3670.7
2008-11-01,3760.6
2008-12-01,3875.2
2009-01-01,3903.9
2009-02-01,3903.6
2009-03-01,3938.6
2009-04-01,3936.3
2009-05-01,3957.7
2009-06-01,3929.7
2009-07-01,3933.0
2009-08-01,3919.8
2009-09-01,3911.9
2009-10-01,3912.6
2009-11-01,3913.2
2009-12-01,3909.0
2010-01-01,3889.0
2010-02-01,3915.4
2010-03-01,3912.8
2010-04-01,3926.0
2010-05-01,3953.2
2010-06-01,3963.6
2010-07-01,3960.8
2010-08-01,3978.1
2010-09-01,3985.8
2010-10-01,3994.5
2010-11-01,3993.8
2010-12-01,3992.3
2011-01-01,3989.0
2011-02-01,4004.9
2011-03-01,4009.7
2011-04-01,4018.4
2011-05-01,4037.0
2011-06-01,4070.6
2011-07-01,4133.5
2011-08-01,4204.9
2011-09-01,4205.0
2011-10-01,4217.0
2011-11-01,4231.5
2011-12-01,4251.4
2012-01-01,4272.0
2012-02-01,4285.8
2012-03-01,4296.5
2012-04-01,4312.9
2012-05-01,4341.0
2012-06-01,4375.6
2012-07-01,4397.3
2012-08-01,4402.1
2012-09-01,4415.6
2012-10-01,4432.5
2012-11-01,4470.3
2012-12-01,4523.7
2013-01-01,4523.3
2013-02-01,4499.9
2013-03-01,4541.9
2013-04-01,4566.9
2013-05-01,4583.2
2013-06-01,4596.7
2013-07-01,4607.5
2013-08-01,4621.9
2013-09-01,4642.1
2013-10-01,4689.0
2013-11-01,4685.6
2013-12-01,4698.7
2014-01-01,4708.7
2014-02-01,4738.3
2014-03-01,4745.3
2014-04-01,4760.4
2014-05-01,4780.7
2014-06-01,4797.3
2014-07-01,4816.8
2014-08-01,4830.0
2014-09-01,4843.8
2014-10-01,4870.2
2014-11-01,4896.8
2014-12-01,4944.5
2015-01-01,5003.3
2015-02-01,5041.1
2015-03-01,5034.2
2015-04-01,5049.2
2015-05-01,5046.5
2015-06-01,5051.7
2015-07-01,5065.8
2015-08-01,5087.3
2015-09-01,5121.9
2015-10-01,5130.5
2015-11-01,5161.8
2015-12-01,5191.8
2016-01-01,5247.2
2016-02-01,5286.0
2016-03-01,5296.4
2016-04-01,5313.3
2016-05-01,5328.8
2016-06-01,5341.7
2016-07-01,5369.4
2016-08-01,5395.3
2016-09-01,5406.0
2016-10-01,5421.3
2016-11-01,5444.2
2016-12-01,5444.2
2017-01-01,5452.3
2017-02-01,5471.8
2017-03-01,5502.7
2017-04-01,5521.4
2017-05-01,5547.0
2017-06-01,5553.2
2017-07-01,5576.8
2017-08-01,5579.3
2017-09-01,5568.2
2017-10-01,5586.4
2017-11-01,5582.3
2017-12-01,5590.0
2018-01-01,5575.3
2018-02-01,5576.6
2018-03-01,5595.6
2018-04-01,5591.8
2018-05-01,5599.0
2018-06-01,5615.9
2018-07-01,5625.0
2018-08-01,5635.5
2018-09-01,5635.4
2018-10-01,5627.0
2018-11-01,5636.7
2018-12-01,5685.5
2019-01-01,5715.8
2019-02-01,5717.2
2019-03-01,5706.7
2019-04-01,5698.7
2019-05-01,5730.9
2019-06-01,5778.0
2019-07-01,5796.7
2019-08-01,5824.0
2019-09-01,5847.6
2019-10-01,5885.7
2019-11-01,5915.7
2019-12-01,5931.6
2020-01-01,5954.0
2020-02-01,5968.4
2020-03-01,6193.2
2020-04-01,6639.2
2020-05-01,6968.4
2020-06-01,7048.3
2020-07-01,7069.5
2020-08-01,7072.0
2020-09-01,7139.1
2020-10-01,7196.3
2020-11-01,7275.9
2020-12-01,7311.7
2021-01-01,7388.5
2021-02-01,7448.6
2021-03-01,7491.2
2021-04-01,7539.7
2021-05-01,7601.6
2021-06-01,7550.7
2021-07-01,7575.8
2021-08-01,7635.6
2021-09-01,7655.1
2021-10-01,7643.8
2021-11-01,7663.0
2021-12-01,7669.2
2022-01-01,7682.4
2022-02-01,7653.7
2022-03-01,7580.5
